state,1990,2000,2010,2020,Code
Alabama,4040389,4447207,4779736,5024279,AL
Alaska,550043,626933,710231,733391,AK
Arizona,3665339,5130247,6392017,7151502,AZ
Arkansas,2350624,2673293,2915918,3011524,AR
California,29811427,33871653,37253956,39538223,CA
Colorado,3294473,4302086,5029196,5773714,CO
Connecticut,3287116,3405650,3574097,3605944,CT
Delaware,666168,783559,897934,989948,DE
District of Columbia,606900,572086,601723,689545,DC
Florida,12938071,15982571,18801310,21538187,FL
Georgia,6478149,8186653,9687653,10711908,GA
Hawaii,1108229,1211497,1360301,1455271,HI
Idaho,1006734,1293957,1567582,1839106,ID
Illinois,11430602,12419927,12830632,12812508,IL
Indiana,5544156,6080827,6483802,6785528,IN
Iowa,2776831,2926538,3046355,3190369,IA
Kansas,2477588,2688925,2853118,2937880,KS
Kentucky,3686892,4042193,4339367,4505836,KY
Louisiana,4221826,4469035,4533372,4657757,LA
Maine,1227928,1274779,1328361,1362359,ME
Maryland,4780753,5296647,5773552,6177224,MD
Massachusetts,6016425,6349364,6547629,7029917,MA
Michigan,9295287,9938823,9883640,10077331,MI
Minnesota,4375665,4919631,5303925,5706494,MN
Mississippi,2575475,2844754,2967297,2961279,MS
Missouri,5116901,5596564,5988927,6154913,MO
Montana,799065,902200,989415,1084225,MT
Nebraska,1578417,1711230,1826341,1961504,NE
Nevada,1201675,1998250,2700551,3104614,NV
New Hampshire,1109252,1235807,1316470,1377529,NH
New Jersey,7747750,8414764,8791894,9288994,NJ
New Mexico,1515069,1819017,2059179,2117522,NM
New York,17990778,18977026,19378102,20201249,NY
North Carolina,6632448,8046346,9535483,10439388,NC
North Dakota,638800,642237,672591,779094,ND
Ohio,10847115,11353336,11536504,11799448,OH
Oklahoma,3145576,3450451,3751351,3959353,OK
Oregon,2842337,3421524,3831074,4237256,OR
Pennsylvania,11882842,12280548,12702379,13002700,PA
Rhode Island,1003464,1048259,1052567,1097379,RI
South Carolina,3486310,4012023,4625364,5118425,SC
South Dakota,696004,754858,814180,886667,SD
Tennessee,4877203,5689427,6346105,6910840,TN
Texas,16986335,20851028,25145561,29145505,TX
Utah,1722850,2233183,2763885,3271616,UT
Vermont,562758,608613,625741,643077,VT
Virginia,6189197,7079057,8001024,8631393,VA
Washington,4866669,5894281,6724540,7705281,WA
West Virginia,1793477,1808193,1852994,1793716,WV
Wisconsin,4891954,5363757,5686986,5893718,WI
Wyoming,453589,493786,563626,576851,WY
